genes,MAPPED_genes,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000176531,PHLDB3,6.87E-02,1.79E-03,1.36E-01,1.095,2.017,4.42E-02,2.98E-01,-3.93831
ENSG00000155744,FAM126B,-2.54E-02,-5.01E-02,-6.54E-04,6.243,-2.016,4.43E-02,2.98E-01,-4.74216
ENSG00000102387,TAF7L,8.52E-02,2.19E-03,1.68E-01,4.60E-01,2.016,4.43E-02,2.98E-01,-3.8677
ENSG00000173372,C1QA,7.19E-02,1.84E-03,1.42E-01,3.516,2.016,4.43E-02,2.98E-01,-4.39696
ENSG00000254806,SYS1-DBNDD2,8.98E-02,2.28E-03,1.77E-01,1.81E-01,2.015,4.44E-02,2.99E-01,-3.85407
ENSG00000125450,NUP85,3.26E-02,8.21E-04,6.43E-02,4.044,2.015,4.44E-02,2.99E-01,-4.46558
ENSG00000130649,CYP2E1,6.48E-02,1.63E-03,1.28E-01,3.246,2.015,4.44E-02,2.99E-01,-4.31098
ENSG00000013573,DDX11,1.51E-01,3.79E-03,2.98E-01,1.933,2.015,4.44E-02,2.99E-01,-4.06623
ENSG00000103089,FA2H,6.93E-02,1.69E-03,1.37E-01,1.977,2.013,4.46E-02,3.00E-01,-4.09922
ENSG00000062725,APPBP2,-1.70E-02,-3.35E-02,-4.13E-04,7.557,-2.013,4.46E-02,3.00E-01,-4.8193
ENSG00000100767,PAPLN,-7.48E-02,-1.48E-01,-1.80E-03,4.303,-2.013,4.46E-02,3.00E-01,-4.50834
ENSG00000214548,MEG3,3.65E-02,8.69E-04,7.22E-02,7.934,2.012,4.47E-02,3.00E-01,-4.8322
ENSG00000111011,RSRC2,-2.47E-02,-4.88E-02,-5.84E-04,6.433,-2.012,4.47E-02,3.00E-01,-4.76477
ENSG00000085276,MECOM,-7.19E-02,-1.42E-01,-1.69E-03,3.22,-2.012,4.48E-02,3.00E-01,-4.32554
ENSG00000242082,.,-1.00E-01,-1.98E-01,-2.33E-03,1.232,-2.011,4.48E-02,3.01E-01,-3.9635
ENSG00000169139,UBE2V2,-2.62E-02,-5.18E-02,-6.08E-04,6.646,-2.011,4.48E-02,3.01E-01,-4.77823
ENSG00000078053,AMPH,-3.00E-02,-5.92E-02,-6.92E-04,6.914,-2.011,4.48E-02,3.01E-01,-4.79311
ENSG00000099715,PCDH11Y,-6.80E-02,-1.34E-01,-1.54E-03,3.224,-2.01,4.49E-02,3.01E-01,-4.48832
ENSG00000171135,JAGN1,-3.62E-02,-7.15E-02,-8.08E-04,3.208,-2.009,4.50E-02,3.01E-01,-4.32454
ENSG00000149177,PTPRJ,-2.69E-02,-5.32E-02,-5.93E-04,5.521,-2.009,4.51E-02,3.02E-01,-4.69004
ENSG00000100027,YPEL1,4.08E-02,8.97E-04,8.08E-02,5.019,2.008,4.51E-02,3.02E-01,-4.63178
ENSG00000161057,PSMC2,-2.41E-02,-4.77E-02,-5.14E-04,6.112,-2.007,4.52E-02,3.02E-01,-4.7448
ENSG00000171490,RSL1D1,-2.03E-02,-4.02E-02,-4.31E-04,6.279,-2.007,4.53E-02,3.03E-01,-4.76186
ENSG00000162729,IGSF8,2.98E-02,6.25E-04,5.89E-02,6.654,2.006,4.53E-02,3.03E-01,-4.78308
ENSG00000101079,NDRG3,-2.20E-02,-4.35E-02,-4.57E-04,7.679,-2.006,4.53E-02,3.03E-01,-4.83431
ENSG00000225190,PLEKHM1,3.01E-02,6.21E-04,5.96E-02,3.724,2.006,4.54E-02,3.03E-01,-4.42106
ENSG00000026950,BTN3A1,5.02E-02,1.02E-03,9.94E-02,3.453,2.005,4.54E-02,3.03E-01,-4.37691
ENSG00000100664,EIF5,-2.63E-02,-5.20E-02,-5.33E-04,8.669,-2.005,4.55E-02,3.03E-01,-4.87236
ENSG00000262879,.,5.48E-02,1.11E-03,1.09E-01,2.669,2.005,4.55E-02,3.03E-01,-4.22791
ENSG00000149564,ESAM,-6.78E-02,-1.34E-01,-1.37E-03,1.717,-2.005,4.55E-02,3.03E-01,-4.05631
ENSG00000136237,RAPGEF5,-2.53E-02,-5.02E-02,-5.10E-04,9.238,-2.005,4.55E-02,3.03E-01,-4.88797
ENSG00000266918,.,7.54E-02,1.51E-03,1.49E-01,3.766,2.004,4.55E-02,3.03E-01,-4.43543
ENSG00000198668,CALM1,-2.36E-02,-4.68E-02,-4.65E-04,1.16E+01,-2.004,4.56E-02,3.03E-01,-4.93373
ENSG00000166979,EVA1C,3.53E-02,6.93E-04,6.99E-02,2.916,2.004,4.56E-02,3.03E-01,-4.28145
ENSG00000188732,FAM221A,4.56E-02,8.80E-04,9.04E-02,3.981,2.003,4.57E-02,3.04E-01,-4.48521
ENSG00000175662,TOM1L2,-2.74E-02,-5.43E-02,-5.19E-04,6.769,-2.002,4.58E-02,3.04E-01,-4.80053
ENSG00000173627,APOBEC4,6.54E-02,1.24E-03,1.30E-01,1.397,2.002,4.58E-02,3.04E-01,-4.01404
ENSG00000185818,NAT8L,-3.26E-02,-6.46E-02,-6.11E-04,7.127,-2.002,4.58E-02,3.04E-01,-4.81996
ENSG00000160087,UBE2J2,-2.28E-02,-4.52E-02,-4.27E-04,4.342,-2.002,4.58E-02,3.04E-01,-4.54264
ENSG00000196961,AP2A1,-2.42E-02,-4.79E-02,-4.45E-04,6.385,-2.001,4.59E-02,3.05E-01,-4.77664
ENSG00000238197,GCFC1-AS1,3.20E-02,5.81E-04,6.34E-02,3.518,2.001,4.59E-02,3.05E-01,-4.39942
ENSG00000157637,SLC38A10,2.71E-02,4.91E-04,5.37E-02,4.721,2,4.59E-02,3.05E-01,-4.59947
ENSG00000130429,ARPC1B,-4.53E-02,-8.99E-02,-8.12E-04,3.174,-2,4.60E-02,3.05E-01,-4.34345
ENSG00000189238,.,-1.06E-01,-2.11E-01,-1.86E-03,8.11E-01,-1.999,4.61E-02,3.05E-01,-3.95487
ENSG00000186272,ZNF17,-2.97E-02,-5.88E-02,-5.06E-04,4.691,-1.998,4.62E-02,3.06E-01,-4.60127
ENSG00000170191,NANP,3.96E-02,6.73E-04,7.85E-02,2.739,1.998,4.62E-02,3.06E-01,-4.25194
ENSG00000136715,SAP130,-3.23E-02,-6.41E-02,-5.29E-04,3.631,-1.997,4.63E-02,3.07E-01,-4.42296
ENSG00000152818,UTRN,-2.48E-02,-4.92E-02,-4.04E-04,6.954,-1.997,4.63E-02,3.07E-01,-4.82472
ENSG00000072501,SMC1A,-2.62E-02,-5.19E-02,-4.17E-04,5.301,-1.996,4.64E-02,3.07E-01,-4.68857
ENSG00000222041,LINC00152,5.72E-02,9.12E-04,1.14E-01,2.004,1.996,4.64E-02,3.07E-01,-4.12071
ENSG00000186111,PIP5K1C,-3.76E-02,-7.47E-02,-5.94E-04,5.726,-1.996,4.65E-02,3.07E-01,-4.72541
ENSG00000254004,ZNF260,-2.48E-02,-4.92E-02,-3.86E-04,5.262,-1.995,4.65E-02,3.07E-01,-4.6882
ENSG00000173559,NABP1,5.07E-02,7.87E-04,1.01E-01,2.647,1.995,4.65E-02,3.07E-01,-4.24429
ENSG00000123444,KBTBD4,2.78E-02,4.31E-04,5.53E-02,3.771,1.995,4.65E-02,3.07E-01,-4.46109
ENSG00000107551,RASSF4,-3.96E-02,-7.87E-02,-6.12E-04,5.819,-1.995,4.65E-02,3.07E-01,-4.74554
ENSG00000196150,ZNF250,-2.49E-02,-4.93E-02,-3.77E-04,4.856,-1.995,4.66E-02,3.07E-01,-4.63424
ENSG00000141252,VPS53,-4.86E-02,-9.65E-02,-7.23E-04,6.944,-1.994,4.67E-02,3.07E-01,-4.82888
ENSG00000152969,JAKMIP1,2.58E-02,3.84E-04,5.12E-02,6.359,1.994,4.67E-02,3.07E-01,-4.78958
ENSG00000079156,OSBPL6,-2.74E-02,-5.44E-02,-4.07E-04,6.099,-1.994,4.67E-02,3.07E-01,-4.77317
ENSG00000103855,CD276,3.91E-02,5.78E-04,7.77E-02,3.302,1.994,4.67E-02,3.07E-01,-4.36701
ENSG00000258419,.,-8.31E-02,-1.65E-01,-1.23E-03,3.66E-01,-1.994,4.67E-02,3.07E-01,-3.9005
ENSG00000170312,CDK1,-1.04E-01,-2.05E-01,-1.53E-03,5.64E-01,-1.994,4.67E-02,3.07E-01,-3.92591
ENSG00000182636,NDN,3.77E-02,5.53E-04,7.48E-02,5.459,1.993,4.67E-02,3.07E-01,-4.70875
ENSG00000166377,ATP9B,2.96E-02,4.31E-04,5.88E-02,7.003,1.993,4.67E-02,3.07E-01,-4.83462
ENSG00000172493,AFF1,-2.63E-02,-5.21E-02,-3.78E-04,5.677,-1.993,4.68E-02,3.07E-01,-4.73789
ENSG00000071626,DAZAP1,2.65E-02,3.67E-04,5.26E-02,4.956,1.992,4.69E-02,3.08E-01,-4.65179
ENSG00000239911,PRKAG2-AS1,5.64E-02,7.72E-04,1.12E-01,2.127,1.991,4.69E-02,3.08E-01,-4.1594
ENSG00000101751,POLI,2.35E-02,3.18E-04,4.66E-02,6.014,1.991,4.70E-02,3.08E-01,-4.77417
ENSG00000082146,STRADB,2.26E-02,3.04E-04,4.49E-02,4.923,1.991,4.70E-02,3.08E-01,-4.65349
ENSG00000074696,PTPLAD1,-2.16E-02,-4.29E-02,-2.90E-04,8.079,-1.991,4.70E-02,3.08E-01,-4.88138
ENSG00000096717,SIRT1,2.44E-02,3.23E-04,4.85E-02,5.289,1.991,4.70E-02,3.08E-01,-4.70293
ENSG00000124214,STAU1,-1.76E-02,-3.50E-02,-2.30E-04,6.226,-1.99,4.71E-02,3.08E-01,-4.79174
ENSG00000198680,TUSC1,-3.94E-02,-7.84E-02,-4.99E-04,3.377,-1.989,4.71E-02,3.09E-01,-4.3994
ENSG00000152433,ZNF547,-3.90E-02,-7.75E-02,-4.94E-04,3.122,-1.989,4.71E-02,3.09E-01,-4.33769
ENSG00000176165,FOXG1,3.49E-02,4.40E-04,6.94E-02,5.296,1.989,4.72E-02,3.09E-01,-4.70334
ENSG00000182916,TCEAL7,-3.45E-02,-6.85E-02,-4.27E-04,6.652,-1.989,4.72E-02,3.09E-01,-4.81495
ENSG00000119508,NR4A3,1.04E-01,1.28E-03,2.06E-01,3.306,1.989,4.72E-02,3.09E-01,-4.38453
ENSG00000101452,DHX35,-4.31E-02,-8.57E-02,-5.30E-04,4.462,-1.989,4.72E-02,3.09E-01,-4.5864
ENSG00000260415,.,-3.42E-02,-6.81E-02,-4.19E-04,5.301,-1.989,4.72E-02,3.09E-01,-4.70282
ENSG00000122870,BICC1,-3.93E-02,-7.81E-02,-4.74E-04,3.944,-1.988,4.73E-02,3.09E-01,-4.50189
ENSG00000139973,SYT16,2.68E-02,3.22E-04,5.32E-02,6.241,1.988,4.73E-02,3.09E-01,-4.79397
ENSG00000119227,PIGZ,5.37E-02,6.34E-04,1.07E-01,2.008,1.988,4.73E-02,3.09E-01,-4.1316
ENSG00000254184,TYW1B,5.44E-02,6.14E-04,1.08E-01,2.59,1.987,4.75E-02,3.10E-01,-4.2406
ENSG00000177156,TALDO1,-3.21E-02,-6.39E-02,-3.58E-04,5.883,-1.986,4.75E-02,3.10E-01,-4.76596
ENSG00000136478,TEX2,-2.04E-02,-4.06E-02,-2.18E-04,6.637,-1.985,4.76E-02,3.10E-01,-4.82925
ENSG00000198753,PLXNB3,-5.72E-02,-1.14E-01,-6.10E-04,4.149,-1.985,4.76E-02,3.10E-01,-4.53423
ENSG00000205116,TMEM88B,-1.37E-01,-2.72E-01,-1.44E-03,-4.26E-02,-1.985,4.76E-02,3.10E-01,-3.91683
ENSG00000057663,ATG5,-1.86E-02,-3.70E-02,-1.88E-04,6.185,-1.984,4.77E-02,3.11E-01,-4.79627
ENSG00000114742,WDR48,-1.77E-02,-3.52E-02,-1.73E-04,6.777,-1.984,4.78E-02,3.11E-01,-4.8403
ENSG00000152217,SETBP1,2.86E-02,2.70E-04,5.69E-02,5.674,1.983,4.79E-02,3.11E-01,-4.75517
ENSG00000116106,EPHA4,2.56E-02,2.37E-04,5.10E-02,8.326,1.983,4.79E-02,3.12E-01,-4.90418
ENSG00000113790,EHHADH,-4.21E-02,-8.37E-02,-3.69E-04,2.951,-1.982,4.80E-02,3.12E-01,-4.32537
ENSG00000153982,GDPD1,-3.71E-02,-7.39E-02,-3.23E-04,4.248,-1.981,4.80E-02,3.12E-01,-4.56782
ENSG00000106327,TFR2,-5.15E-02,-1.03E-01,-4.46E-04,2.087,-1.981,4.80E-02,3.12E-01,-4.16011
ENSG00000162836,ACP6,4.29E-02,3.64E-04,8.53E-02,3.065,1.981,4.81E-02,3.12E-01,-4.34367
ENSG00000135387,CAPRIN1,-1.59E-02,-3.17E-02,-1.29E-04,7.904,-1.98,4.82E-02,3.13E-01,-4.89703
ENSG00000260359,.,-9.83E-02,-1.96E-01,-7.76E-04,1.28E-01,-1.98,4.82E-02,3.13E-01,-3.90007
ENSG00000258768,.,-5.24E-02,-1.04E-01,-4.14E-04,2.875,-1.98,4.82E-02,3.13E-01,-4.31527
ENSG00000236850,.,-3.37E-02,-6.71E-02,-2.64E-04,3.929,-1.98,4.82E-02,3.13E-01,-4.51621
ENSG00000006062,MAP3K14,5.47E-02,4.15E-04,1.09E-01,2.214,1.979,4.83E-02,3.13E-01,-4.18192
ENSG00000182013,PNMAL1,2.50E-02,1.89E-04,4.99E-02,8.167,1.979,4.83E-02,3.13E-01,-4.90529
ENSG00000185339,TCN2,-5.40E-02,-1.08E-01,-4.07E-04,2.567,-1.979,4.83E-02,3.13E-01,-4.25881
ENSG00000120063,GNA13,3.23E-02,2.41E-04,6.43E-02,6.715,1.979,4.83E-02,3.13E-01,-4.84781
ENSG00000249853,HS3ST5,-4.12E-02,-8.20E-02,-3.02E-04,3.354,-1.979,4.83E-02,3.13E-01,-4.40846
ENSG00000153012,LGI2,5.55E-02,4.06E-04,1.11E-01,3.468,1.979,4.83E-02,3.13E-01,-4.4389
ENSG00000100603,SNW1,-2.63E-02,-5.23E-02,-1.89E-04,5.074,-1.978,4.84E-02,3.13E-01,-4.69713
ENSG00000140538,NTRK3,-2.53E-02,-5.04E-02,-1.78E-04,8.247,-1.978,4.84E-02,3.13E-01,-4.9123
ENSG00000108010,GLRX3,-2.61E-02,-5.21E-02,-1.84E-04,4.908,-1.978,4.84E-02,3.13E-01,-4.67291
ENSG00000214530,STARD10,-3.20E-02,-6.37E-02,-2.24E-04,4.122,-1.978,4.84E-02,3.13E-01,-4.55065
ENSG00000049245,VAMP3,2.67E-02,1.80E-04,5.33E-02,5.782,1.978,4.85E-02,3.13E-01,-4.77952
ENSG00000261616,.,-6.57E-02,-1.31E-01,-4.38E-04,1.643,-1.977,4.85E-02,3.13E-01,-4.08534
ENSG00000128590,DNAJB9,-2.49E-02,-4.96E-02,-1.65E-04,6.033,-1.977,4.85E-02,3.13E-01,-4.79806
ENSG00000140400,MAN2C1,2.75E-02,1.77E-04,5.48E-02,5.579,1.977,4.85E-02,3.13E-01,-4.75119
ENSG00000056097,ZFR,-2.18E-02,-4.35E-02,-1.38E-04,8.089,-1.977,4.86E-02,3.13E-01,-4.91046
ENSG00000164841,TMEM74,4.77E-02,3.00E-04,9.50E-02,2.651,1.977,4.86E-02,3.13E-01,-4.28042
ENSG00000131477,RAMP2,-9.03E-02,-1.80E-01,-5.62E-04,3.13E-01,-1.977,4.86E-02,3.13E-01,-3.92952
ENSG00000148835,TAF5,-3.33E-02,-6.64E-02,-2.03E-04,3.385,-1.976,4.86E-02,3.13E-01,-4.42166
ENSG00000149187,CELF1,-1.95E-02,-3.89E-02,-1.18E-04,7.361,-1.976,4.86E-02,3.13E-01,-4.8844
ENSG00000113594,LIFR,-2.72E-02,-5.41E-02,-1.63E-04,8.649,-1.976,4.86E-02,3.13E-01,-4.92895
ENSG00000085760,MTIF2,-2.82E-02,-5.63E-02,-1.68E-04,5.337,-1.976,4.87E-02,3.13E-01,-4.73204
ENSG00000180739,S1PR5,-6.62E-02,-1.32E-01,-3.61E-04,2.871,-1.975,4.88E-02,3.13E-01,-4.34099
ENSG00000255389,.,-8.51E-02,-1.70E-01,-4.54E-04,2.707,-1.975,4.88E-02,3.14E-01,-4.28392
ENSG00000144597,EAF1,2.30E-02,1.19E-04,4.58E-02,5.353,1.974,4.88E-02,3.14E-01,-4.73744
ENSG00000168216,LMBRD1,-1.95E-02,-3.90E-02,-1.01E-04,6.704,-1.974,4.88E-02,3.14E-01,-4.85468
ENSG00000101084,C20orf24,-4.81E-02,-9.60E-02,-2.36E-04,3.459,-1.974,4.89E-02,3.14E-01,-4.46162
ENSG00000233639,.,4.36E-02,2.10E-04,8.70E-02,2.95,1.974,4.89E-02,3.14E-01,-4.34198
ENSG00000107242,PIP5K1B,4.25E-02,2.02E-04,8.48E-02,4.804,1.974,4.89E-02,3.14E-01,-4.66716
ENSG00000171246,NPTX1,-3.81E-02,-7.61E-02,-1.67E-04,7.757,-1.973,4.90E-02,3.14E-01,-4.90484
ENSG00000130368,MAS1,-6.74E-02,-1.35E-01,-2.91E-04,1.879,-1.973,4.90E-02,3.14E-01,-4.14099
ENSG00000215559,ANKRD20A11P,-2.97E-01,-5.93E-01,-1.26E-03,9.13E-01,-1.973,4.90E-02,3.14E-01,-4.0072
ENSG00000090054,SPTLC1,-2.76E-02,-5.50E-02,-1.16E-04,5.388,-1.973,4.90E-02,3.14E-01,-4.74564
ENSG00000180198,RCC1,-4.89E-02,-9.76E-02,-1.91E-04,2.158,-1.972,4.91E-02,3.14E-01,-4.19118
ENSG00000269337,.,-5.89E-02,-1.18E-01,-2.30E-04,3.638,-1.972,4.91E-02,3.14E-01,-4.4769
ENSG00000251400,ALDH7A1P1,-8.57E-02,-1.71E-01,-3.08E-04,1.79E-01,-1.971,4.92E-02,3.15E-01,-3.91751
ENSG00000133111,RFXAP,3.55E-02,1.24E-04,7.09E-02,3.143,1.971,4.92E-02,3.15E-01,-4.38232
ENSG00000166233,ARIH1,-1.71E-02,-3.41E-02,-5.54E-05,6.994,-1.971,4.93E-02,3.15E-01,-4.87826
ENSG00000159208,C1orf51,1.13E-01,3.62E-04,2.25E-01,1.788,1.971,4.93E-02,3.15E-01,-4.13817
ENSG00000121005,CRISPLD1,-7.73E-02,-1.54E-01,-2.42E-04,3.547,-1.97,4.93E-02,3.15E-01,-4.47149
ENSG00000267690,.,8.37E-02,2.41E-04,1.67E-01,2.43E-01,1.97,4.93E-02,3.15E-01,-3.92545
ENSG00000250312,ZNF718,-4.75E-02,-9.49E-02,-1.35E-04,4.535,-1.97,4.94E-02,3.15E-01,-4.63442
ENSG00000226852,.,-4.72E-02,-9.42E-02,-1.26E-04,2.581,-1.969,4.94E-02,3.15E-01,-4.26924
ENSG00000225830,ERCC6,-2.48E-02,-4.95E-02,-6.57E-05,5.363,-1.969,4.94E-02,3.15E-01,-4.74904
ENSG00000166974,MAPRE2,2.02E-02,5.34E-05,4.04E-02,7.375,1.969,4.94E-02,3.15E-01,-4.89692
ENSG00000242259,C22orf39,2.72E-02,6.70E-05,5.42E-02,4.944,1.969,4.94E-02,3.15E-01,-4.69499
ENSG00000229236,TTTY10,8.51E-02,2.05E-04,1.70E-01,-1.237,1.969,4.95E-02,3.15E-01,-3.9651
ENSG00000241563,CORT,9.52E-02,2.27E-04,1.90E-01,1.675,1.969,4.95E-02,3.15E-01,-4.15068
ENSG00000108691,CCL2,-1.99E-01,-3.97E-01,-4.42E-04,3.65E-01,-1.969,4.95E-02,3.15E-01,-3.99481
ENSG00000138653,NDST4,7.15E-02,1.56E-04,1.43E-01,1.044,1.969,4.95E-02,3.15E-01,-4.02816
ENSG00000183691,NOG,6.56E-02,1.31E-04,1.31E-01,1.328,1.968,4.95E-02,3.15E-01,-4.0704
ENSG00000198677,TTC37,-2.01E-02,-4.02E-02,-4.02E-05,7.881,-1.968,4.95E-02,3.15E-01,-4.91985
ENSG00000185515,BRCC3,-2.44E-02,-4.88E-02,-4.01E-05,4.291,-1.967,4.96E-02,3.15E-01,-4.6023
ENSG00000213923,CSNK1E,2.34E-02,3.65E-05,4.67E-02,5.737,1.967,4.96E-02,3.15E-01,-4.78901
ENSG00000133101,CCNA1,4.23E-02,6.04E-05,8.45E-02,2.588,1.967,4.97E-02,3.15E-01,-4.29132
ENSG00000246363,.,6.50E-02,9.27E-05,1.30E-01,1.798,1.967,4.97E-02,3.15E-01,-4.16571
ENSG00000185838,GNB1L,-5.31E-02,-1.06E-01,-7.16E-05,2.26,-1.967,4.97E-02,3.15E-01,-4.21986
ENSG00000158806,NPM2,-3.07E-02,-6.14E-02,-4.14E-05,5.242,-1.967,4.97E-02,3.15E-01,-4.73166
ENSG00000162073,PAQR4,-3.50E-02,-6.99E-02,-4.57E-05,4.192,-1.967,4.97E-02,3.15E-01,-4.58801
ENSG00000176974,SHMT1,-4.59E-02,-9.17E-02,-4.98E-05,2.907,-1.966,4.98E-02,3.15E-01,-4.342
ENSG00000033327,GAB2,3.09E-02,3.19E-05,6.18E-02,5.582,1.966,4.98E-02,3.15E-01,-4.7807
ENSG00000134326,CMPK2,6.04E-02,5.74E-05,1.21E-01,3.742,1.966,4.98E-02,3.15E-01,-4.51342
ENSG00000169752,NRG4,-7.79E-02,-1.56E-01,-6.75E-05,3.435,-1.966,4.98E-02,3.15E-01,-4.44639
ENSG00000196378,ZNF34,3.56E-02,2.21E-05,7.11E-02,3.466,1.965,4.99E-02,3.15E-01,-4.45166
ENSG00000156475,PPP2R2B,-1.93E-02,-3.86E-02,-1.09E-05,7.398,-1.965,4.99E-02,3.15E-01,-4.90516
ENSG00000173480,ZNF417,-2.86E-02,-5.73E-02,-6.01E-06,4.455,-1.965,5.00E-02,3.16E-01,-4.63099
ENSG00000233593,.,5.71E-02,-7.35E-07,1.14E-01,1.889,1.964,5.00E-02,3.16E-01,-4.15497
ENSG00000126775,ATG14,2.27E-02,-2.70E-06,4.54E-02,5.418,1.964,5.00E-02,3.16E-01,-4.76735
ENSG00000119772,DNMT3A,-2.77E-02,-5.54E-02,4.37E-06,4.748,-1.964,5.00E-02,3.16E-01,-4.67566
ENSG00000091592,NLRP1,3.24E-02,-1.22E-05,6.48E-02,6.995,1.964,5.01E-02,3.16E-01,-4.88787
ENSG00000248738,.,-1.23E-01,-2.46E-01,6.01E-05,1.815,-1.963,5.01E-02,3.16E-01,-4.14708
ENSG00000176903,PNMA1,-2.58E-02,-5.16E-02,2.17E-05,7.082,-1.963,5.02E-02,3.17E-01,-4.89464
ENSG00000115421,PAPOLG,-2.05E-02,-4.11E-02,1.78E-05,5.317,-1.963,5.02E-02,3.17E-01,-4.75802
ENSG00000164574,GALNT10,4.05E-02,-4.34E-05,8.10E-02,4.2,1.962,5.03E-02,3.17E-01,-4.59853
ENSG00000138095,LRPPRC,-2.14E-02,-4.29E-02,2.83E-05,8.376,-1.962,5.03E-02,3.17E-01,-4.94796
ENSG00000168259,DNAJC7,-1.84E-02,-3.68E-02,3.72E-05,6.377,-1.96,5.05E-02,3.18E-01,-4.85753
ENSG00000126773,PCNXL4,-2.21E-02,-4.42E-02,4.77E-05,6.226,-1.96,5.05E-02,3.18E-01,-4.85102
ENSG00000176920,FUT2,-6.13E-02,-1.23E-01,1.67E-04,1.024,-1.959,5.06E-02,3.19E-01,-4.02663
ENSG00000260034,.,4.20E-02,-1.23E-04,8.41E-02,2.792,1.958,5.07E-02,3.19E-01,-4.33676
ENSG00000204954,C12orf73,4.10E-02,-1.23E-04,8.22E-02,2.636,1.958,5.07E-02,3.19E-01,-4.30945
ENSG00000162688,AGL,-2.97E-02,-5.95E-02,9.15E-05,6.557,-1.958,5.07E-02,3.19E-01,-4.87747
ENSG00000171735,CAMTA1,-2.23E-02,-4.47E-02,7.81E-05,7.437,-1.957,5.08E-02,3.19E-01,-4.92268
ENSG00000163075,.,-3.42E-02,-6.86E-02,1.27E-04,3.551,-1.957,5.09E-02,3.19E-01,-4.48576
ENSG00000107104,KANK1,3.59E-02,-1.39E-04,7.20E-02,5.907,1.957,5.09E-02,3.19E-01,-4.82877
ENSG00000213722,DDAH2,4.45E-02,-1.73E-04,8.92E-02,3.692,1.957,5.09E-02,3.19E-01,-4.52212
ENSG00000157224,CLDN12,2.73E-02,-1.08E-04,5.48E-02,5.842,1.957,5.09E-02,3.19E-01,-4.825
ENSG00000114867,EIF4G1,-1.95E-02,-3.91E-02,7.76E-05,6.872,-1.956,5.09E-02,3.19E-01,-4.89692
ENSG00000160613,PCSK7,2.81E-02,-1.16E-04,5.62E-02,5.022,1.956,5.10E-02,3.19E-01,-4.72727
ENSG00000163754,GYG1,-3.50E-02,-7.01E-02,1.54E-04,4.958,-1.956,5.10E-02,3.19E-01,-4.72482
ENSG00000152034,MCHR2,-5.17E-02,-1.04E-01,2.30E-04,4.009,-1.956,5.10E-02,3.19E-01,-4.5797
ENSG00000103260,METRN,-3.94E-02,-7.90E-02,1.77E-04,5.568,-1.955,5.10E-02,3.19E-01,-4.79567
ENSG00000177103,DSCAML1,3.48E-02,-1.57E-04,6.98E-02,3.724,1.955,5.10E-02,3.19E-01,-4.51618
ENSG00000158863,FAM160B2,-2.87E-02,-5.76E-02,1.38E-04,3.431,-1.955,5.11E-02,3.20E-01,-4.46309
ENSG00000101040,ZMYND8,-2.82E-02,-5.65E-02,1.59E-04,6.408,-1.953,5.13E-02,3.21E-01,-4.87514
ENSG00000136436,CALCOCO2,-2.92E-02,-5.86E-02,1.70E-04,5.315,-1.953,5.13E-02,3.21E-01,-4.77473
ENSG00000269707,.,8.50E-02,-5.09E-04,1.71E-01,1.98E-01,1.953,5.14E-02,3.21E-01,-3.95669
ENSG00000204624,PTCHD2,-5.92E-02,-1.19E-01,3.67E-04,2.776,-1.952,5.14E-02,3.21E-01,-4.33783
ENSG00000023287,RB1CC1,-2.65E-02,-5.31E-02,1.65E-04,8.898,-1.952,5.14E-02,3.21E-01,-4.98188
ENSG00000170743,SYT9,3.39E-02,-2.13E-04,6.79E-02,4.352,1.952,5.14E-02,3.21E-01,-4.64106
ENSG00000099365,STX1B,-3.50E-02,-7.02E-02,2.30E-04,6.239,-1.951,5.15E-02,3.21E-01,-4.85999
ENSG00000138061,CYP1B1,-7.73E-02,-1.55E-01,5.19E-04,4.47,-1.951,5.15E-02,3.22E-01,-4.6663
ENSG00000104884,ERCC2,2.83E-02,-1.95E-04,5.69E-02,3.845,1.951,5.16E-02,3.22E-01,-4.54949
ENSG00000166477,LEO1,3.83E-02,-2.69E-04,7.70E-02,5.009,1.951,5.16E-02,3.22E-01,-4.74265
ENSG00000196208,GREB1,-3.59E-02,-7.20E-02,2.56E-04,4.735,-1.95,5.16E-02,3.22E-01,-4.69908
ENSG00000169964,TMEM42,3.26E-02,-2.37E-04,6.55E-02,3.372,1.95,5.17E-02,3.22E-01,-4.46823
ENSG00000169599,NFU1,-2.86E-02,-5.74E-02,2.13E-04,4.675,-1.95,5.17E-02,3.22E-01,-4.6957
ENSG00000152332,UHMK1,-2.28E-02,-4.58E-02,1.82E-04,8.656,-1.949,5.18E-02,3.23E-01,-4.98144
ENSG00000196743,GM2A,2.69E-02,-2.16E-04,5.40E-02,5.58,1.949,5.18E-02,3.23E-01,-4.81465
ENSG00000122335,SERAC1,-3.23E-02,-6.48E-02,2.64E-04,4.741,-1.948,5.19E-02,3.23E-01,-4.70707
ENSG00000233137,.,2.02E-02,-1.66E-04,4.06E-02,6.421,1.948,5.19E-02,3.23E-01,-4.88778
ENSG00000188878,FBF1,3.79E-02,-3.16E-04,7.61E-02,2.642,1.948,5.19E-02,3.23E-01,-4.32216
ENSG00000106554,CHCHD3,-2.09E-02,-4.20E-02,1.77E-04,5.199,-1.948,5.20E-02,3.23E-01,-4.7683
